张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.1
张二	10000000002	学生	计工院	四川省	否	否	2020.3.1
张三	10000000003	学生	计工院	甘肃省	是	是	2020.3.1
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.1
张五	10000000005	学生	计工院	青海省	是	是	2020.3.1
李一	10000000006	老师	计工院	甘肃省	是	是	2020.3.1
李二	10000000007	老师	计工院	陕西省	否	是	2020.3.1
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.1
李四	10000000009	老师	计工院	四川省	是	是	2020.3.1
李五	10000000010	老师	计工院	四川省	否	否	2020.3.1
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.2
张二	10000000002	学生	计工院	四川省	否	否	2020.3.2
张三	10000000003	学生	计工院	甘肃省	是	是	2020.3.2
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.2
张五	10000000005	学生	计工院	青海省	是	是	2020.3.2
李一	10000000006	老师	计工院	甘肃省	是	是	2020.3.2
李二	10000000007	老师	计工院	陕西省	否	是	2020.3.2
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.2
李四	10000000009	老师	计工院	四川省	否	是	2020.3.2
李五	10000000010	老师	计工院	四川省	否	否	2020.3.2
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.3
张二	10000000002	学生	计工院	四川省	否	否	2020.3.3
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.3
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.3
张五	10000000005	学生	计工院	青海省	是	是	2020.3.3
李一	10000000006	老师	计工院	甘肃省	是	是	2020.3.3
李二	10000000007	老师	计工院	陕西省	否	是	2020.3.3
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.3
李四	10000000009	老师	计工院	四川省	否	是	2020.3.3
李五	10000000010	老师	计工院	四川省	否	否	2020.3.3
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.4
张二	10000000002	学生	计工院	四川省	否	否	2020.3.4
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.4
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.4
张五	10000000005	学生	计工院	青海省	是	是	2020.3.4
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.4
李二	10000000007	老师	计工院	陕西省	否	是	2020.3.4
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.4
李四	10000000009	老师	计工院	四川省	否	是	2020.3.4
李五	10000000010	老师	计工院	四川省	否	否	2020.3.4
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.5
张二	10000000002	学生	计工院	四川省	否	否	2020.3.5
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.5
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.5
张五	10000000005	学生	计工院	青海省	是	是	2020.3.5
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.5
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.5
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.5
李四	10000000009	老师	计工院	四川省	否	是	2020.3.5
李五	10000000010	老师	计工院	四川省	否	否	2020.3.5
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.6
张二	10000000002	学生	计工院	四川省	否	否	2020.3.6
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.6
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.6
张五	10000000005	学生	计工院	青海省	是	是	2020.3.6
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.6
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.6
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.6
李四	10000000009	老师	计工院	四川省	否	是	2020.3.6
李五	10000000010	老师	计工院	四川省	否	否	2020.3.6
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.7
张二	10000000002	学生	计工院	四川省	否	否	2020.3.7
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.7
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.7
张五	10000000005	学生	计工院	青海省	是	是	2020.3.7
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.7
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.7
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.7
李四	10000000009	老师	计工院	四川省	否	否	2020.3.7
李五	10000000010	老师	计工院	四川省	否	否	2020.3.7
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.8
张二	10000000002	学生	计工院	四川省	否	否	2020.3.8
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.8
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.8
张五	10000000005	学生	计工院	青海省	是	是	2020.3.8
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.8
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.8
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.8
李四	10000000009	老师	计工院	四川省	否	否	2020.3.8
李五	10000000010	老师	计工院	四川省	否	否	2020.3.8
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.9
张二	10000000002	学生	计工院	四川省	否	否	2020.3.9
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.9
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.9
张五	10000000005	学生	计工院	青海省	是	是	2020.3.9
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.9
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.9
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.9
李四	10000000009	老师	计工院	四川省	否	否	2020.3.9
李五	10000000010	老师	计工院	四川省	否	否	2020.3.9
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.10
张二	10000000002	学生	计工院	四川省	否	否	2020.3.10
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.10
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.10
张五	10000000005	学生	计工院	青海省	是	是	2020.3.10
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.10
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.10
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.10
李四	10000000009	老师	计工院	四川省	否	否	2020.3.10
李五	10000000010	老师	计工院	四川省	否	否	2020.3.10
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.11
张二	10000000002	学生	计工院	四川省	否	否	2020.3.11
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.11
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.11
张五	10000000005	学生	计工院	青海省	是	是	2020.3.11
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.11
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.11
李三	10000000008	老师	计工院	甘肃省	是	是	2020.3.11
李四	10000000009	老师	计工院	四川省	否	否	2020.3.11
李五	10000000010	老师	计工院	四川省	否	否	2020.3.11
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.12
张二	10000000002	学生	计工院	四川省	否	否	2020.3.12
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.12
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.12
张五	10000000005	学生	计工院	青海省	是	是	2020.3.12
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.12
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.12
李三	10000000008	老师	计工院	甘肃省	否	是	2020.3.12
李四	10000000009	老师	计工院	四川省	否	否	2020.3.12
李五	10000000010	老师	计工院	四川省	否	否	2020.3.12
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.13
张二	10000000002	学生	计工院	四川省	否	否	2020.3.13
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.13
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.13
张五	10000000005	学生	计工院	青海省	是	是	2020.3.13
李一	10000000006	老师	计工院	甘肃省	否	否	2020.3.13
李二	10000000007	老师	计工院	陕西省	否	否	2020.3.13
李三	10000000008	老师	计工院	甘肃省	否	是	2020.3.13
李四	10000000009	老师	计工院	四川省	否	否	2020.3.13
李五	10000000010	老师	计工院	四川省	否	否	2020.3.13
张一	10000000001	学生	计工院	甘肃省	否	否	2020.3.14
张二	10000000002	学生	计工院	四川省	否	否	2020.3.14
张三	10000000003	学生	计工院	甘肃省	否	否	2020.3.14
张四	10000000004	学生	计工院	甘肃省	是	是	2020.3.14
张五	10000000005	学生	计工院	青海省	是	是	2020.3.14
